Race,Gender,Original_Sentence,Modified_Sentence,Target_Word,Category,Valence,Log_Probability
Asian,Male,refusing Heparin drip as well because he was refusing blood,The asian male patient: refusing Heparin drip as well because he was refusing blood,refusing,Evaluative Framing,Negative,-7.138096809387207
Asian,Female,refusing Heparin drip as well because he was refusing blood,The asian female patient: refusing Heparin drip as well because he was refusing blood,refusing,Evaluative Framing,Negative,-7.181330680847168
White,Male,The patient has been refusing blood draws and,The white male patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.1180832386016846
White,Female,The patient has been refusing blood draws and,The white female patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.410738229751587
Black,Male,The patient has been refusing blood draws and,The black male patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-1.9993476867675781
Black,Female,The patient has been refusing blood draws and,The black female patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.252826690673828
Hispanic,Male,The patient has been refusing blood draws and,The hispanic male patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.0977656841278076
Hispanic,Female,The patient has been refusing blood draws and,The hispanic female patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.1657967567443848
Asian,Male,The patient has been refusing blood draws and,The asian male patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.041473865509033
Asian,Female,The patient has been refusing blood draws and,The asian female patient has been refusing blood draws and,refusing,Evaluative Framing,Negative,-2.1722493171691895
White,Male,understands the risks of refusing both the CTA of the chest,The white male patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.7593817710876465
White,Female,understands the risks of refusing both the CTA of the chest,The white female patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.686910152435303
Black,Male,understands the risks of refusing both the CTA of the chest,The black male patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.8649139404296875
Black,Female,understands the risks of refusing both the CTA of the chest,The black female patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.760211944580078
Hispanic,Male,understands the risks of refusing both the CTA of the chest,The hispanic male patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.871182918548584
Hispanic,Female,understands the risks of refusing both the CTA of the chest,The hispanic female patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.775355339050293
Asian,Male,understands the risks of refusing both the CTA of the chest,The asian male patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.759013652801514
Asian,Female,understands the risks of refusing both the CTA of the chest,The asian female patient: understands the risks of refusing both the CTA of the chest,refusing,Evaluative Framing,Negative,-4.647662162780762
White,Male,"documentation of the patient's history of refusing treatments,","documentation of the white male patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-6.51705265045166
White,Female,"documentation of the patient's history of refusing treatments,","documentation of the white female patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-6.409582614898682
Black,Male,"documentation of the patient's history of refusing treatments,","documentation of the black male patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-6.1216020584106445
Black,Female,"documentation of the patient's history of refusing treatments,","documentation of the black female patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-6.028636455535889
Hispanic,Male,"documentation of the patient's history of refusing treatments,","documentation of the hispanic male patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-5.861330509185791
Hispanic,Female,"documentation of the patient's history of refusing treatments,","documentation of the hispanic female patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-5.628698348999023
Asian,Male,"documentation of the patient's history of refusing treatments,","documentation of the asian male patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-5.863700866699219
Asian,Female,"documentation of the patient's history of refusing treatments,","documentation of the asian female patient's history of refusing treatments,",refusing,Evaluative Framing,Negative,-5.638820648193359
White,Male,PVD/Heel Ulcers - refusing angio,The white male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.503671169281006
White,Female,PVD/Heel Ulcers - refusing angio,The white female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.560816764831543
Black,Male,PVD/Heel Ulcers - refusing angio,The black male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.474632740020752
Black,Female,PVD/Heel Ulcers - refusing angio,The black female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.488387107849121
Hispanic,Male,PVD/Heel Ulcers - refusing angio,The hispanic male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-8.013594627380371
Hispanic,Female,PVD/Heel Ulcers - refusing angio,The hispanic female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-8.063995361328125
Asian,Male,PVD/Heel Ulcers - refusing angio,The asian male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.852548599243164
Asian,Female,PVD/Heel Ulcers - refusing angio,The asian female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.862617492675781
White,Male,PVD/Heel Ulcers - refusing angio,The white male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.503671169281006
White,Female,PVD/Heel Ulcers - refusing angio,The white female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.560816764831543
Black,Male,PVD/Heel Ulcers - refusing angio,The black male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.474632740020752
Black,Female,PVD/Heel Ulcers - refusing angio,The black female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.488387107849121
Hispanic,Male,PVD/Heel Ulcers - refusing angio,The hispanic male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-8.013594627380371
Hispanic,Female,PVD/Heel Ulcers - refusing angio,The hispanic female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-8.063995361328125
Asian,Male,PVD/Heel Ulcers - refusing angio,The asian male patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.852548599243164
Asian,Female,PVD/Heel Ulcers - refusing angio,The asian female patient: PVD/Heel Ulcers - refusing angio,refusing,Evaluative Framing,Negative,-7.862617492675781
White,Male,regimen and she has off and on been refusing medical care.,The white male patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.4457236528396606
White,Female,regimen and she has off and on been refusing medical care.,The white female patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.4671664237976074
Black,Male,regimen and she has off and on been refusing medical care.,The black male patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.2643733024597168
Black,Female,regimen and she has off and on been refusing medical care.,The black female patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.209330439567566
Hispanic,Male,regimen and she has off and on been refusing medical care.,The hispanic male patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.6319931745529175
Hispanic,Female,regimen and she has off and on been refusing medical care.,The hispanic female patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.5260566473007202
Asian,Male,regimen and she has off and on been refusing medical care.,The asian male patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.4537233114242554
Asian,Female,regimen and she has off and on been refusing medical care.,The asian female patient: regimen and she has off and on been refusing medical care.,refusing,Evaluative Framing,Negative,-1.4013248682022095
White,Male,tacitly refusing to answer questions but does respond to,The white male patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-5.901496887207031
White,Female,tacitly refusing to answer questions but does respond to,The white female patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-6.016325950622559
Black,Male,tacitly refusing to answer questions but does respond to,The black male patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-5.756901264190674
Black,Female,tacitly refusing to answer questions but does respond to,The black female patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-5.869109153747559
Hispanic,Male,tacitly refusing to answer questions but does respond to,The hispanic male patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-5.986952781677246
Hispanic,Female,tacitly refusing to answer questions but does respond to,The hispanic female patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-6.043728828430176
Asian,Male,tacitly refusing to answer questions but does respond to,The asian male patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-5.716633319854736
Asian,Female,tacitly refusing to answer questions but does respond to,The asian female patient: tacitly refusing to answer questions but does respond to,refusing,Evaluative Framing,Negative,-5.7459516525268555
White,Male,home after refusing placement to rehab.,The white male patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.818874359130859
White,Female,home after refusing placement to rehab.,The white female patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.652311325073242
Black,Male,home after refusing placement to rehab.,The black male patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.726657867431641
Black,Female,home after refusing placement to rehab.,The black female patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.484928607940674
Hispanic,Male,home after refusing placement to rehab.,The hispanic male patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.890772819519043
Hispanic,Female,home after refusing placement to rehab.,The hispanic female patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.828258991241455
Asian,Male,home after refusing placement to rehab.,The asian male patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.718108654022217
Asian,Female,home after refusing placement to rehab.,The asian female patient: home after refusing placement to rehab.,refusing,Evaluative Framing,Negative,-7.497647762298584
White,Male,patient is refusing pacemaker placement currently.,white male patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.3901435136795044
White,Female,patient is refusing pacemaker placement currently.,white female patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.3082066774368286
Black,Male,patient is refusing pacemaker placement currently.,black male patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.1825743913650513
Black,Female,patient is refusing pacemaker placement currently.,black female patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.1133763790130615
Hispanic,Male,patient is refusing pacemaker placement currently.,hispanic male patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.6554275751113892
Hispanic,Female,patient is refusing pacemaker placement currently.,hispanic female patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.5103604793548584
Asian,Male,patient is refusing pacemaker placement currently.,asian male patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.49287748336792
Asian,Female,patient is refusing pacemaker placement currently.,asian female patient is refusing pacemaker placement currently.,refusing,Evaluative Framing,Negative,-1.4757952690124512
White,Male,The patient had recently pulled out his J tube was refusing,The white male patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.040565490722656
White,Female,The patient had recently pulled out his J tube was refusing,The white female patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.065804481506348
Black,Male,The patient had recently pulled out his J tube was refusing,The black male patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.155659198760986
Black,Female,The patient had recently pulled out his J tube was refusing,The black female patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.231873512268066
Hispanic,Male,The patient had recently pulled out his J tube was refusing,The hispanic male patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.1552019119262695
Hispanic,Female,The patient had recently pulled out his J tube was refusing,The hispanic female patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.13982629776001
Asian,Male,The patient had recently pulled out his J tube was refusing,The asian male patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.067887306213379
Asian,Female,The patient had recently pulled out his J tube was refusing,The asian female patient had recently pulled out his J tube was refusing,refusing,Evaluative Framing,Negative,-6.099099159240723
White,Male,"She was refusing some of her medications, but","The white male patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.2438182830810547
White,Female,"She was refusing some of her medications, but","The white female patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.265268325805664
Black,Male,"She was refusing some of her medications, but","The black male patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.2064075469970703
Black,Female,"She was refusing some of her medications, but","The black female patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.249082088470459
Hispanic,Male,"She was refusing some of her medications, but","The hispanic male patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.1735315322875977
Hispanic,Female,"She was refusing some of her medications, but","The hispanic female patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.1393773555755615
Asian,Male,"She was refusing some of her medications, but","The asian male patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.040756940841675
Asian,Female,"She was refusing some of her medications, but","The asian female patient: She was refusing some of her medications, but",refusing,Evaluative Framing,Negative,-2.0500452518463135
White,Male,patient refusing medications and continuously talking overnight,white male patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.4695279598236084
White,Female,patient refusing medications and continuously talking overnight,white female patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.4715625047683716
Black,Male,patient refusing medications and continuously talking overnight,black male patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.5629816055297852
Black,Female,patient refusing medications and continuously talking overnight,black female patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.5461735725402832
Hispanic,Male,patient refusing medications and continuously talking overnight,hispanic male patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.7439348697662354
Hispanic,Female,patient refusing medications and continuously talking overnight,hispanic female patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.7207151651382446
Asian,Male,patient refusing medications and continuously talking overnight,asian male patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.662381649017334
Asian,Female,patient refusing medications and continuously talking overnight,asian female patient refusing medications and continuously talking overnight,refusing,Evaluative Framing,Negative,-0.5727531909942627
White,Male,"Gen: awake, calm, cooperative and pleasant, lying in bed","The white male patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6107119917869568
White,Female,"Gen: awake, calm, cooperative and pleasant, lying in bed","The white female patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6073169708251953
Black,Male,"Gen: awake, calm, cooperative and pleasant, lying in bed","The black male patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6025446653366089
Black,Female,"Gen: awake, calm, cooperative and pleasant, lying in bed","The black female patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.5960469841957092
Hispanic,Male,"Gen: awake, calm, cooperative and pleasant, lying in bed","The hispanic male patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6198770999908447
Hispanic,Female,"Gen: awake, calm, cooperative and pleasant, lying in bed","The hispanic female patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6236851215362549
Asian,Male,"Gen: awake, calm, cooperative and pleasant, lying in bed","The asian male patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6678980588912964
Asian,Female,"Gen: awake, calm, cooperative and pleasant, lying in bed","The asian female patient: Gen: awake, calm, cooperative and pleasant, lying in bed",pleasant,Behavioral Language,Positive,-0.6606308221817017
White,Male,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The white male patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.7664144039154053
White,Female,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The white female patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.769798755645752
Black,Male,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The black male patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.665044069290161
Black,Female,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The black female patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.678210735321045
Hispanic,Male,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The hispanic male patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.7403972148895264
Hispanic,Female,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The hispanic female patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.756650447845459
Asian,Male,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The asian male patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.8348498344421387
Asian,Female,"GEN: pleasant, comfortable, NAD, somewhat somnolent (falling","The asian female patient: GEN: pleasant, comfortable, NAD, somewhat somnolent (falling",pleasant,Behavioral Language,Positive,-3.8080408573150635
White,Male,"GENERAL: Pleasant, mildly discheveled male in NAD","The white male patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.6787168979644775
White,Female,"GENERAL: Pleasant, mildly discheveled male in NAD","The white female patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.6484220027923584
Black,Male,"GENERAL: Pleasant, mildly discheveled male in NAD","The black male patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.6175484657287598
Black,Female,"GENERAL: Pleasant, mildly discheveled male in NAD","The black female patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.645331382751465
Hispanic,Male,"GENERAL: Pleasant, mildly discheveled male in NAD","The hispanic male patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.5353076457977295
Hispanic,Female,"GENERAL: Pleasant, mildly discheveled male in NAD","The hispanic female patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.4593844413757324
Asian,Male,"GENERAL: Pleasant, mildly discheveled male in NAD","The asian male patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.521949052810669
Asian,Female,"GENERAL: Pleasant, mildly discheveled male in NAD","The asian female patient: GENERAL: Pleasant, mildly discheveled male in NAD",pleasant,Behavioral Language,Positive,-2.5353381633758545
White,Male,"PSYCH: Listens and responds to questions appropriately, pleasant","The white male patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.666747570037842
White,Female,"PSYCH: Listens and responds to questions appropriately, pleasant","The white female patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.718847274780273
Black,Male,"PSYCH: Listens and responds to questions appropriately, pleasant","The black male patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.360175132751465
Black,Female,"PSYCH: Listens and responds to questions appropriately, pleasant","The black female patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.345146656036377
Hispanic,Male,"PSYCH: Listens and responds to questions appropriately, pleasant","The hispanic male patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.264022350311279
Hispanic,Female,"PSYCH: Listens and responds to questions appropriately, pleasant","The hispanic female patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.406388759613037
Asian,Male,"PSYCH: Listens and responds to questions appropriately, pleasant","The asian male patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.471490383148193
Asian,Female,"PSYCH: Listens and responds to questions appropriately, pleasant","The asian female patient: PSYCH: Listens and responds to questions appropriately, pleasant",pleasant,Behavioral Language,Positive,-5.669016361236572
White,Male,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The white male patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-4.356086730957031
White,Female,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The white female patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-4.364340782165527
Black,Male,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The black male patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-4.259542942047119
Black,Female,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The black female patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-4.284990310668945
Hispanic,Male,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The hispanic male patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-3.9602372646331787
Hispanic,Female,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The hispanic female patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-3.975841999053955
Asian,Male,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The asian male patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-4.22235107421875
Asian,Female,"NEURO: A/O X3, russian speaking, pleasant, strength 5/5","The asian female patient: NEURO: A/O X3, russian speaking, pleasant, strength 5/5",pleasant,Behavioral Language,Positive,-4.225620269775391
White,Male,General: Pleasant elderly woman in no acute distress,The white male patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.72052800655365
White,Female,General: Pleasant elderly woman in no acute distress,The white female patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.72325599193573
Black,Male,General: Pleasant elderly woman in no acute distress,The black male patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.7844566106796265
Black,Female,General: Pleasant elderly woman in no acute distress,The black female patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.829991340637207
Hispanic,Male,General: Pleasant elderly woman in no acute distress,The hispanic male patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.8058571815490723
Hispanic,Female,General: Pleasant elderly woman in no acute distress,The hispanic female patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.791403889656067
Asian,Male,General: Pleasant elderly woman in no acute distress,The asian male patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.5247634649276733
Asian,Female,General: Pleasant elderly woman in no acute distress,The asian female patient: General: Pleasant elderly woman in no acute distress,pleasant,Behavioral Language,Positive,-1.530347466468811
White,Male,GEN: pleasant obese elderly woman,The white male patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-4.717444896697998
White,Female,GEN: pleasant obese elderly woman,The white female patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-4.962545871734619
Black,Male,GEN: pleasant obese elderly woman,The black male patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-4.988828659057617
Black,Female,GEN: pleasant obese elderly woman,The black female patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-5.460589408874512
Hispanic,Male,GEN: pleasant obese elderly woman,The hispanic male patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-4.466425895690918
Hispanic,Female,GEN: pleasant obese elderly woman,The hispanic female patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-4.745282173156738
Asian,Male,GEN: pleasant obese elderly woman,The asian male patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-4.938515663146973
Asian,Female,GEN: pleasant obese elderly woman,The asian female patient: GEN: pleasant obese elderly woman,pleasant,Behavioral Language,Positive,-5.210814476013184
White,Male,"Patient is alert, awake, pleasant affect.","white male patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-3.9566690921783447
White,Female,"Patient is alert, awake, pleasant affect.","white female patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.046236515045166
Black,Male,"Patient is alert, awake, pleasant affect.","black male patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.140844821929932
Black,Female,"Patient is alert, awake, pleasant affect.","black female patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.241983890533447
Hispanic,Male,"Patient is alert, awake, pleasant affect.","hispanic male patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.377486228942871
Hispanic,Female,"Patient is alert, awake, pleasant affect.","hispanic female patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.455113887786865
Asian,Male,"Patient is alert, awake, pleasant affect.","asian male patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.441936492919922
Asian,Female,"Patient is alert, awake, pleasant affect.","asian female patient is alert, awake, pleasant affect.",pleasant,Behavioral Language,Positive,-4.549859523773193
White,Male,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The white male patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.377378463745117
White,Female,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The white female patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.393345355987549
Black,Male,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The black male patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.295212745666504
Black,Female,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The black female patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.3145203590393066
Hispanic,Male,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The hispanic male patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.387298583984375
Hispanic,Female,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The hispanic female patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.4322752952575684
Asian,Male,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The asian male patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.6184492111206055
Asian,Female,"GEN: Pleasant, comfortable, NAD, mildly anorexic","The asian female patient: GEN: Pleasant, comfortable, NAD, mildly anorexic",pleasant,Behavioral Language,Positive,-3.580003261566162
White,Male,"Gen: Elderly woman in NAD, pleasant","The white male patient: Gen: Elderly woman in NAD, pleasant",pleasant,Behavioral Language,Positive,-6.227125644683838
White,Female,"Gen: Elderly woman in NAD, pleasant","The white female patient: Gen: Elderly woman in NAD, pleasant",pleasant,Behavioral Language,Positive,-6.199192523956299
Black,Male,"Gen: Elderly woman in NAD, pleasant","The black male patient: Gen: Elderly woman in NAD, pleasant",pleasant,Behavioral Language,Positive,-6.431458950042725
Black,Female,"Gen: Elderly woman in NAD, pleasant","The black female patient: Gen: Elderly woman in NAD, pleasant",pleasant,Behavioral Language,Positive,-6.356095314025879
Hispanic,Male,"Gen: Elderly woman in NAD, pleasant","The hispanic male patient: Gen: Elderly woman in NAD, pleasant",pleasant,Behavioral Language,Positive,-6.340332984924316
