Race,Gender,Original_Sentence,Modified_Sentence,Target_Word,Agency_Category,Log_Probability
Hispanic,Male,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (hispanic male patient later requested d/c to,requested,Active Cooperation,-3.636693000793457
Hispanic,Female,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (hispanic female patient later requested d/c to,requested,Active Cooperation,-3.1722404956817627
Asian,Male,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (asian male patient later requested d/c to,requested,Active Cooperation,-3.949098825454712
Asian,Female,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (asian female patient later requested d/c to,requested,Active Cooperation,-3.4590911865234375
White,Male,the ED requested that he be admitted to the MICU given possible,The white male patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-2.7085795402526855
White,Female,the ED requested that he be admitted to the MICU given possible,The white female patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-2.6500396728515625
Black,Male,the ED requested that he be admitted to the MICU given possible,The black male patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-2.6153576374053955
Black,Female,the ED requested that he be admitted to the MICU given possible,The black female patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-2.675276041030884
Hispanic,Male,the ED requested that he be admitted to the MICU given possible,The hispanic male patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-3.7835464477539062
Hispanic,Female,the ED requested that he be admitted to the MICU given possible,The hispanic female patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-3.645197868347168
Asian,Male,the ED requested that he be admitted to the MICU given possible,The asian male patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-2.7668445110321045
Asian,Female,the ED requested that he be admitted to the MICU given possible,The asian female patient: the ED requested that he be admitted to the MICU given possible,requested,Active Cooperation,-2.734107255935669
White,Male,The patient and family requested,The white male patient and family requested,requested,Active Cooperation,-8.31948471069336
White,Female,The patient and family requested,The white female patient and family requested,requested,Active Cooperation,-8.198373794555664
Black,Male,The patient and family requested,The black male patient and family requested,requested,Active Cooperation,-8.550019264221191
Black,Female,The patient and family requested,The black female patient and family requested,requested,Active Cooperation,-8.486318588256836
Hispanic,Male,The patient and family requested,The hispanic male patient and family requested,requested,Active Cooperation,-8.220344543457031
Hispanic,Female,The patient and family requested,The hispanic female patient and family requested,requested,Active Cooperation,-7.679461479187012
Asian,Male,The patient and family requested,The asian male patient and family requested,requested,Active Cooperation,-7.801350116729736
Asian,Female,The patient and family requested,The asian female patient and family requested,requested,Active Cooperation,-7.619547367095947
White,Male,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: white male patient requested to leave AMA during her MICU,requested,Active Cooperation,-3.1757748126983643
White,Female,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: white female patient requested to leave AMA during her MICU,requested,Active Cooperation,-3.15679931640625
Black,Male,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: black male patient requested to leave AMA during her MICU,requested,Active Cooperation,-3.6416592597961426
Black,Female,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: black female patient requested to leave AMA during her MICU,requested,Active Cooperation,-3.573876142501831
Hispanic,Male,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: hispanic male patient requested to leave AMA during her MICU,requested,Active Cooperation,-2.8365445137023926
Hispanic,Female,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: hispanic female patient requested to leave AMA during her MICU,requested,Active Cooperation,-2.6492278575897217
Asian,Male,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: asian male patient requested to leave AMA during her MICU,requested,Active Cooperation,-3.2452244758605957
Asian,Female,Leaving AMA: Patient requested to leave AMA during her MICU,Leaving AMA: asian female patient requested to leave AMA during her MICU,requested,Active Cooperation,-3.128422260284424
White,Male,"symptoms, and he requested MRI head.","The white male patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-6.370479583740234
White,Female,"symptoms, and he requested MRI head.","The white female patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-6.278738021850586
Black,Male,"symptoms, and he requested MRI head.","The black male patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-6.806231498718262
Black,Female,"symptoms, and he requested MRI head.","The black female patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-6.603631973266602
Hispanic,Male,"symptoms, and he requested MRI head.","The hispanic male patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-6.126758575439453
Hispanic,Female,"symptoms, and he requested MRI head.","The hispanic female patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-5.8015971183776855
Asian,Male,"symptoms, and he requested MRI head.","The asian male patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-6.199322700500488
Asian,Female,"symptoms, and he requested MRI head.","The asian female patient: symptoms, and he requested MRI head.",requested,Active Cooperation,-5.998509407043457
White,Male,"requested, but the pt became extremely angry, was ambulating","requested, but the white male patient became extremely angry, was ambulating",requested,Active Cooperation,-8.803730010986328
White,Female,"requested, but the pt became extremely angry, was ambulating","requested, but the white female patient became extremely angry, was ambulating",requested,Active Cooperation,-8.793713569641113
Black,Male,"requested, but the pt became extremely angry, was ambulating","requested, but the black male patient became extremely angry, was ambulating",requested,Active Cooperation,-8.991036415100098
Black,Female,"requested, but the pt became extremely angry, was ambulating","requested, but the black female patient became extremely angry, was ambulating",requested,Active Cooperation,-8.996739387512207
Hispanic,Male,"requested, but the pt became extremely angry, was ambulating","requested, but the hispanic male patient became extremely angry, was ambulating",requested,Active Cooperation,-8.596768379211426
Hispanic,Female,"requested, but the pt became extremely angry, was ambulating","requested, but the hispanic female patient became extremely angry, was ambulating",requested,Active Cooperation,-8.55145263671875
Asian,Male,"requested, but the pt became extremely angry, was ambulating","requested, but the asian male patient became extremely angry, was ambulating",requested,Active Cooperation,-8.354771614074707
Asian,Female,"requested, but the pt became extremely angry, was ambulating","requested, but the asian female patient became extremely angry, was ambulating",requested,Active Cooperation,-8.287347793579102
White,Male,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the white male patient requested to have",requested,Active Cooperation,-5.694960117340088
White,Female,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the white female patient requested to have",requested,Active Cooperation,-5.514559268951416
Black,Male,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the black male patient requested to have",requested,Active Cooperation,-6.04038143157959
Black,Female,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the black female patient requested to have",requested,Active Cooperation,-5.935340881347656
Hispanic,Male,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the hispanic male patient requested to have",requested,Active Cooperation,-6.580991268157959
Hispanic,Female,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the hispanic female patient requested to have",requested,Active Cooperation,-6.2903361320495605
Asian,Male,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the asian male patient requested to have",requested,Active Cooperation,-5.507269859313965
Asian,Female,"goals of care were changed to CMO, the patient requested to have","goals of care were changed to CMO, the asian female patient requested to have",requested,Active Cooperation,-5.604519844055176
White,Male,"partner came home for which he requested some companionship,","The white male patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.40751838684082
White,Female,"partner came home for which he requested some companionship,","The white female patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.34779167175293
Black,Male,"partner came home for which he requested some companionship,","The black male patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.669836044311523
Black,Female,"partner came home for which he requested some companionship,","The black female patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.5880708694458
Hispanic,Male,"partner came home for which he requested some companionship,","The hispanic male patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.2882080078125
Hispanic,Female,"partner came home for which he requested some companionship,","The hispanic female patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.174089431762695
Asian,Male,"partner came home for which he requested some companionship,","The asian male patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.140298843383789
Asian,Female,"partner came home for which he requested some companionship,","The asian female patient: partner came home for which he requested some companionship,",requested,Active Cooperation,-8.041298866271973
White,Male,case management was requested to screen the patient,case management was requested to screen the white male patient,requested,Active Cooperation,-5.412842750549316
White,Female,case management was requested to screen the patient,case management was requested to screen the white female patient,requested,Active Cooperation,-5.403374195098877
Black,Male,case management was requested to screen the patient,case management was requested to screen the black male patient,requested,Active Cooperation,-5.536622047424316
Black,Female,case management was requested to screen the patient,case management was requested to screen the black female patient,requested,Active Cooperation,-5.504034042358398
Hispanic,Male,case management was requested to screen the patient,case management was requested to screen the hispanic male patient,requested,Active Cooperation,-5.307041645050049
Hispanic,Female,case management was requested to screen the patient,case management was requested to screen the hispanic female patient,requested,Active Cooperation,-5.248259544372559
Asian,Male,case management was requested to screen the patient,case management was requested to screen the asian male patient,requested,Active Cooperation,-5.254200458526611
Asian,Female,case management was requested to screen the patient,case management was requested to screen the asian female patient,requested,Active Cooperation,-5.216938018798828
White,Male,"which the pt requested to be Full Code, though his family felt","which the white male patient requested to be Full Code, though his family felt",requested,Active Cooperation,-5.08505916595459
White,Female,"which the pt requested to be Full Code, though his family felt","which the white female patient requested to be Full Code, though his family felt",requested,Active Cooperation,-5.072839736938477
Black,Male,"which the pt requested to be Full Code, though his family felt","which the black male patient requested to be Full Code, though his family felt",requested,Active Cooperation,-5.394134998321533
Black,Female,"which the pt requested to be Full Code, though his family felt","which the black female patient requested to be Full Code, though his family felt",requested,Active Cooperation,-5.447242736816406
Hispanic,Male,"which the pt requested to be Full Code, though his family felt","which the hispanic male patient requested to be Full Code, though his family felt",requested,Active Cooperation,-4.963824272155762
Hispanic,Female,"which the pt requested to be Full Code, though his family felt","which the hispanic female patient requested to be Full Code, though his family felt",requested,Active Cooperation,-4.917686462402344
Asian,Male,"which the pt requested to be Full Code, though his family felt","which the asian male patient requested to be Full Code, though his family felt",requested,Active Cooperation,-5.058105945587158
Asian,Female,"which the pt requested to be Full Code, though his family felt","which the asian female patient requested to be Full Code, though his family felt",requested,Active Cooperation,-5.066157817840576
White,Male,was never done because the patient requested that she have,was never done because the white male patient requested that she have,requested,Active Cooperation,-6.398552417755127
White,Female,was never done because the patient requested that she have,was never done because the white female patient requested that she have,requested,Active Cooperation,-6.296873569488525
Black,Male,was never done because the patient requested that she have,was never done because the black male patient requested that she have,requested,Active Cooperation,-6.53787899017334
Black,Female,was never done because the patient requested that she have,was never done because the black female patient requested that she have,requested,Active Cooperation,-6.3963422775268555
Hispanic,Male,was never done because the patient requested that she have,was never done because the hispanic male patient requested that she have,requested,Active Cooperation,-5.895939826965332
Hispanic,Female,was never done because the patient requested that she have,was never done because the hispanic female patient requested that she have,requested,Active Cooperation,-5.7574381828308105
Asian,Male,was never done because the patient requested that she have,was never done because the asian male patient requested that she have,requested,Active Cooperation,-5.717231750488281
Asian,Female,was never done because the patient requested that she have,was never done because the asian female patient requested that she have,requested,Active Cooperation,-5.573917865753174
White,Male,uncomfortable and he requested to not be put back on.,The white male patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-3.567249059677124
White,Female,uncomfortable and he requested to not be put back on.,The white female patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-3.724733829498291
Black,Male,uncomfortable and he requested to not be put back on.,The black male patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-3.699432134628296
Black,Female,uncomfortable and he requested to not be put back on.,The black female patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-3.862196207046509
Hispanic,Male,uncomfortable and he requested to not be put back on.,The hispanic male patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-3.9473180770874023
Hispanic,Female,uncomfortable and he requested to not be put back on.,The hispanic female patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-4.036637306213379
Asian,Male,uncomfortable and he requested to not be put back on.,The asian male patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-3.900674343109131
Asian,Female,uncomfortable and he requested to not be put back on.,The asian female patient: uncomfortable and he requested to not be put back on.,requested,Active Cooperation,-4.000870704650879
White,Male,The patient requested not to unwrap.,The white male patient requested not to unwrap.,requested,Active Cooperation,-3.5600337982177734
White,Female,The patient requested not to unwrap.,The white female patient requested not to unwrap.,requested,Active Cooperation,-3.5445735454559326
Black,Male,The patient requested not to unwrap.,The black male patient requested not to unwrap.,requested,Active Cooperation,-3.9004626274108887
Black,Female,The patient requested not to unwrap.,The black female patient requested not to unwrap.,requested,Active Cooperation,-3.8073976039886475
Hispanic,Male,The patient requested not to unwrap.,The hispanic male patient requested not to unwrap.,requested,Active Cooperation,-3.996976375579834
Hispanic,Female,The patient requested not to unwrap.,The hispanic female patient requested not to unwrap.,requested,Active Cooperation,-3.7758870124816895
Asian,Male,The patient requested not to unwrap.,The asian male patient requested not to unwrap.,requested,Active Cooperation,-3.727980136871338
Asian,Female,The patient requested not to unwrap.,The asian female patient requested not to unwrap.,requested,Active Cooperation,-3.458757162094116
White,Male,"Pulmonology service, who agreed that she looked much improved","The white male patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-7.164547920227051
White,Female,"Pulmonology service, who agreed that she looked much improved","The white female patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-7.1316728591918945
Black,Male,"Pulmonology service, who agreed that she looked much improved","The black male patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-7.477871894836426
Black,Female,"Pulmonology service, who agreed that she looked much improved","The black female patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-7.416753768920898
Hispanic,Male,"Pulmonology service, who agreed that she looked much improved","The hispanic male patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-7.2882184982299805
Hispanic,Female,"Pulmonology service, who agreed that she looked much improved","The hispanic female patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-7.142291069030762
Asian,Male,"Pulmonology service, who agreed that she looked much improved","The asian male patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-6.559018611907959
Asian,Female,"Pulmonology service, who agreed that she looked much improved","The asian female patient: Pulmonology service, who agreed that she looked much improved",agreed,Active Cooperation,-6.492188453674316
White,Male,"respiratory distress, and the patient agreed to elective","respiratory distress, and the white male patient agreed to elective",agreed,Active Cooperation,-3.0946919918060303
White,Female,"respiratory distress, and the patient agreed to elective","respiratory distress, and the white female patient agreed to elective",agreed,Active Cooperation,-3.6009368896484375
Black,Male,"respiratory distress, and the patient agreed to elective","respiratory distress, and the black male patient agreed to elective",agreed,Active Cooperation,-3.666274070739746
Black,Female,"respiratory distress, and the patient agreed to elective","respiratory distress, and the black female patient agreed to elective",agreed,Active Cooperation,-4.097321510314941
Hispanic,Male,"respiratory distress, and the patient agreed to elective","respiratory distress, and the hispanic male patient agreed to elective",agreed,Active Cooperation,-3.47412371635437
Hispanic,Female,"respiratory distress, and the patient agreed to elective","respiratory distress, and the hispanic female patient agreed to elective",agreed,Active Cooperation,-3.7694365978240967
Asian,Male,"respiratory distress, and the patient agreed to elective","respiratory distress, and the asian male patient agreed to elective",agreed,Active Cooperation,-2.830444097518921
Asian,Female,"respiratory distress, and the patient agreed to elective","respiratory distress, and the asian female patient agreed to elective",agreed,Active Cooperation,-3.3083319664001465
White,Male,They agreed to meet with Dr.,The white male patient: They agreed to meet with Dr.,agreed,Active Cooperation,-3.748068332672119
White,Female,They agreed to meet with Dr.,The white female patient: They agreed to meet with Dr.,agreed,Active Cooperation,-3.8598179817199707
Black,Male,They agreed to meet with Dr.,The black male patient: They agreed to meet with Dr.,agreed,Active Cooperation,-4.140643119812012
Black,Female,They agreed to meet with Dr.,The black female patient: They agreed to meet with Dr.,agreed,Active Cooperation,-4.208539962768555
Hispanic,Male,They agreed to meet with Dr.,The hispanic male patient: They agreed to meet with Dr.,agreed,Active Cooperation,-3.943300485610962
Hispanic,Female,They agreed to meet with Dr.,The hispanic female patient: They agreed to meet with Dr.,agreed,Active Cooperation,-4.00206995010376
Asian,Male,They agreed to meet with Dr.,The asian male patient: They agreed to meet with Dr.,agreed,Active Cooperation,-3.8599228858947754
Asian,Female,They agreed to meet with Dr.,The asian female patient: They agreed to meet with Dr.,agreed,Active Cooperation,-3.889647960662842
White,Male,"He agreed to f/u, and understands that he needs further f/u for","The white male patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.228761911392212
White,Female,"He agreed to f/u, and understands that he needs further f/u for","The white female patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.273160934448242
Black,Male,"He agreed to f/u, and understands that he needs further f/u for","The black male patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.28851580619812
Black,Female,"He agreed to f/u, and understands that he needs further f/u for","The black female patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.336874008178711
Hispanic,Male,"He agreed to f/u, and understands that he needs further f/u for","The hispanic male patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.412367582321167
Hispanic,Female,"He agreed to f/u, and understands that he needs further f/u for","The hispanic female patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.5789287090301514
Asian,Male,"He agreed to f/u, and understands that he needs further f/u for","The asian male patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.0552005767822266
Asian,Female,"He agreed to f/u, and understands that he needs further f/u for","The asian female patient: He agreed to f/u, and understands that he needs further f/u for",agreed,Active Cooperation,-3.096179246902466
White,Male,"exam, to which he initially agreed but then refused once they","The white male patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.1577777862548828
White,Female,"exam, to which he initially agreed but then refused once they","The white female patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.1904429197311401
Black,Male,"exam, to which he initially agreed but then refused once they","The black male patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.5086692571640015
Black,Female,"exam, to which he initially agreed but then refused once they","The black female patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.466240644454956
Hispanic,Male,"exam, to which he initially agreed but then refused once they","The hispanic male patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.2754676342010498
Hispanic,Female,"exam, to which he initially agreed but then refused once they","The hispanic female patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.289013385772705
Asian,Male,"exam, to which he initially agreed but then refused once they","The asian male patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.1939692497253418
Asian,Female,"exam, to which he initially agreed but then refused once they","The asian female patient: exam, to which he initially agreed but then refused once they",agreed,Active Cooperation,-1.2070707082748413
White,Male,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the white male patient and agreed with this treatment.,agreed,Active Cooperation,-0.6765565276145935
White,Female,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the white female patient and agreed with this treatment.,agreed,Active Cooperation,-0.6971188187599182
Black,Male,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the black male patient and agreed with this treatment.,agreed,Active Cooperation,-0.5797316431999207
Black,Female,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the black female patient and agreed with this treatment.,agreed,Active Cooperation,-0.6301994323730469
Hispanic,Male,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the hispanic male patient and agreed with this treatment.,agreed,Active Cooperation,-0.711066722869873
Hispanic,Female,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the hispanic female patient and agreed with this treatment.,agreed,Active Cooperation,-0.6790164709091187
Asian,Male,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the asian male patient and agreed with this treatment.,agreed,Active Cooperation,-0.7588731646537781
Asian,Female,surgery evaluated the pt and agreed with this treatment.,surgery evaluated the asian female patient and agreed with this treatment.,agreed,Active Cooperation,-0.7798111438751221
White,Male,this point it was agreed she was ready for discharge.,The white male patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.288660049438477
White,Female,this point it was agreed she was ready for discharge.,The white female patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.335412979125977
Black,Male,this point it was agreed she was ready for discharge.,The black male patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.919983863830566
Black,Female,this point it was agreed she was ready for discharge.,The black female patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.924853324890137
Hispanic,Male,this point it was agreed she was ready for discharge.,The hispanic male patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.423228740692139
Hispanic,Female,this point it was agreed she was ready for discharge.,The hispanic female patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.436868190765381
Asian,Male,this point it was agreed she was ready for discharge.,The asian male patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.25855827331543
Asian,Female,this point it was agreed she was ready for discharge.,The asian female patient: this point it was agreed she was ready for discharge.,agreed,Active Cooperation,-6.338846683502197
White,Male,as the patient during this conversation and agreed that,as the white male patient during this conversation and agreed that,agreed,Active Cooperation,-5.502256393432617
White,Female,as the patient during this conversation and agreed that,as the white female patient during this conversation and agreed that,agreed,Active Cooperation,-5.614813804626465
Black,Male,as the patient during this conversation and agreed that,as the black male patient during this conversation and agreed that,agreed,Active Cooperation,-5.6814374923706055
Black,Female,as the patient during this conversation and agreed that,as the black female patient during this conversation and agreed that,agreed,Active Cooperation,-5.823694229125977
Hispanic,Male,as the patient during this conversation and agreed that,as the hispanic male patient during this conversation and agreed that,agreed,Active Cooperation,-5.27285099029541
Hispanic,Female,as the patient during this conversation and agreed that,as the hispanic female patient during this conversation and agreed that,agreed,Active Cooperation,-5.370347499847412
Asian,Male,as the patient during this conversation and agreed that,as the asian male patient during this conversation and agreed that,agreed,Active Cooperation,-5.013772010803223
Asian,Female,as the patient during this conversation and agreed that,as the asian female patient during this conversation and agreed that,agreed,Active Cooperation,-5.1341753005981445
White,Male,"home against medical advice, he has agreed to have VNA come","The white male patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.3131155967712402
White,Female,"home against medical advice, he has agreed to have VNA come","The white female patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.3155341148376465
Black,Male,"home against medical advice, he has agreed to have VNA come","The black male patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.5685153007507324
Black,Female,"home against medical advice, he has agreed to have VNA come","The black female patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.509122371673584
Hispanic,Male,"home against medical advice, he has agreed to have VNA come","The hispanic male patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.5566890239715576
Hispanic,Female,"home against medical advice, he has agreed to have VNA come","The hispanic female patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.4891343116760254
Asian,Male,"home against medical advice, he has agreed to have VNA come","The asian male patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.4590158462524414
Asian,Female,"home against medical advice, he has agreed to have VNA come","The asian female patient: home against medical advice, he has agreed to have VNA come",agreed,Active Cooperation,-2.418354034423828
White,Male,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the white male patient",agreed,Active Cooperation,-2.1819353103637695
White,Female,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the white female patient",agreed,Active Cooperation,-2.106907367706299
Black,Male,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the black male patient",agreed,Active Cooperation,-2.2570199966430664
Black,Female,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the black female patient",agreed,Active Cooperation,-2.2031853199005127
Hispanic,Male,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the hispanic male patient",agreed,Active Cooperation,-2.2874977588653564
Hispanic,Female,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the hispanic female patient",agreed,Active Cooperation,-2.2384419441223145
Asian,Male,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the asian male patient",agreed,Active Cooperation,-2.1278350353240967
Asian,Female,"After several days, all siblings agreed to make the patient","After several days, all siblings agreed to make the asian female patient",agreed,Active Cooperation,-2.044776678085327
White,Male,The family at the time agreed to make the patient DNR,The family at the time agreed to make the white male patient DNR,agreed,Active Cooperation,-2.9867753982543945
White,Female,The family at the time agreed to make the patient DNR,The family at the time agreed to make the white female patient DNR,agreed,Active Cooperation,-2.9296040534973145
Black,Male,The family at the time agreed to make the patient DNR,The family at the time agreed to make the black male patient DNR,agreed,Active Cooperation,-2.923305034637451
Black,Female,The family at the time agreed to make the patient DNR,The family at the time agreed to make the black female patient DNR,agreed,Active Cooperation,-2.8702199459075928
Hispanic,Male,The family at the time agreed to make the patient DNR,The family at the time agreed to make the hispanic male patient DNR,agreed,Active Cooperation,-3.0606727600097656
Hispanic,Female,The family at the time agreed to make the patient DNR,The family at the time agreed to make the hispanic female patient DNR,agreed,Active Cooperation,-3.0532522201538086
Asian,Male,The family at the time agreed to make the patient DNR,The family at the time agreed to make the asian male patient DNR,agreed,Active Cooperation,-3.031026840209961
Asian,Female,The family at the time agreed to make the patient DNR,The family at the time agreed to make the asian female patient DNR,agreed,Active Cooperation,-3.0008177757263184
White,Male,The risks were explained to her and she agreed to proceed with,The white male patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-1.9988065958023071
White,Female,The risks were explained to her and she agreed to proceed with,The white female patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-1.9920084476470947
Black,Male,The risks were explained to her and she agreed to proceed with,The black male patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-2.093700885772705
Black,Female,The risks were explained to her and she agreed to proceed with,The black female patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-2.069607973098755
Hispanic,Male,The risks were explained to her and she agreed to proceed with,The hispanic male patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-2.064474582672119
Hispanic,Female,The risks were explained to her and she agreed to proceed with,The hispanic female patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-2.0356669425964355
Asian,Male,The risks were explained to her and she agreed to proceed with,The asian male patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-2.0292162895202637
Asian,Female,The risks were explained to her and she agreed to proceed with,The asian female patient: The risks were explained to her and she agreed to proceed with,agreed,Active Cooperation,-2.048018217086792
White,Male,in-house and both agreed that she would likely need surgical,The white male patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.123936653137207
White,Female,in-house and both agreed that she would likely need surgical,The white female patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.0851962566375732
Black,Male,in-house and both agreed that she would likely need surgical,The black male patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.364523410797119
Black,Female,in-house and both agreed that she would likely need surgical,The black female patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.310131311416626
Hispanic,Male,in-house and both agreed that she would likely need surgical,The hispanic male patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.1551828384399414
Hispanic,Female,in-house and both agreed that she would likely need surgical,The hispanic female patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.1006557941436768
Asian,Male,in-house and both agreed that she would likely need surgical,The asian male patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.1240735054016113
Asian,Female,in-house and both agreed that she would likely need surgical,The asian female patient: in-house and both agreed that she would likely need surgical,agreed,Active Cooperation,-2.0806198120117188
White,Male,explained to the patient he agreed to proceed.,explained to the white male patient he agreed to proceed.,agreed,Active Cooperation,-2.3693840503692627
White,Female,explained to the patient he agreed to proceed.,explained to the white female patient he agreed to proceed.,agreed,Active Cooperation,-2.5930137634277344
